0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159
46.6679910161,669.8112548896,-28.8384900722,7.6547498671,-14.3720168711,686.2966470289,-31.7998466713,-427.7042149173,-17.7656679267,13.559961148,105.658629467,52.755832678,-83.2927304344,318.1728097103,-24.7725105344,-418.3612150565,-26.4564012484,-30.4399952135,-397.1835431707,-377.1207361261,2.3198061743,-2704.6703714668,-21.2863670218,70.9379186517,42.1055374299,-69.2534704926,-38.3736922666,-91.2351640899,20.9181435805,2964.6059260843,3.2498348736,-371.3718414935,-35.8385165393,-336.6045720129,190.6857279618,676.6116018542,-462.257379451,-116.7912863091,7.5723892417,48.2679504718,-20.7917276468,-439.294089806,-473.6581750363,48.9020113455,73.4850849509,-345.5360842872,-22.6228057421,3.4614128087,-2679.9128175314,0.539915043,117.5051481212,-40.9877631796,-41.0202078416,-408.507723344,-24.8892408011,2863.2305638813,-7.0646324808,6.3733175788,-30.3627516995,-467.8416536618,405.0355496097,886.5867592981,-4.4792961924,-247.4985034596,249.0194135658,384.2577545616,12.9608116988,5.6740489376,-285.3322266037,42.0546573448,293.8141766048,-21.4673479505,-133.7773762743,394.8503864311,429.3118682572,38.9628285622,-2769.4416711633,-4625.291843941,348.7449267978,-11.144322464,95.5793303766,-31.5284329881,-49.5073529593,-20.9366783175,64.5191070895,26.2751848192,-432.8948094445,-14.3569023741,411.039783966,144.7507535762,2.9014203449,10.1148236303,265.5940623888,127.9160087583,508.9527371563,20.1849792069,-19.086208999,-119.8172930354,410.0341612139,-7.9286424044,344.6636022186,-65.0754563897,-11.5520845192,2.8204804189,-59.2788650589,-33.7308418063,-65.172760706,414.4476624346,-108.8494244714,187.187168634,-8.1686577091,14.896432248,5.9478544751,32.6280936093,386.8019848827,-44.0471633821,16.6000881601,-17.407380608,3.120063375,56.262889137,-24.319548787,73.3639100375,-32.3226096502,-4572.1306133857,448.161214647,73.1643898723,6791.5793487218,-108.7081139958,-77.5521660297,-3.416034943,440.2185420897,-6828.8928118263,-390.5207044783,-406.7305387618,442.0105985081,1.167730198,-16.585539318,922.2879532053,8.7291402169,62.9905387232,-24.5597779206,8.7776120973,31.1046105306,24.1261190373,47.9607073054,-8.8552927518,-379.6339399626,268.8291559606,419.0645094806,30.0973750176,-402.962421366,-480.1886094944,22.4876922681,-112.0003434231,7.7761894923,0.9671549748,-432.6027241962,-29.5222392384,114.3534022577,-1979.9119877708
669.8112548896,37561.1866735231,465.8727823084,-8.4255820768,-50.757846818,33679.4945051126,-2221.1769278202,-18817.4155511147,220.8423240946,-460.3887420145,2721.1071546426,-566.6417076789,-3024.0968117464,18812.0243875992,109.6516573011,-24020.0952106692,102.0770042683,77.6704563745,-18015.5845084189,-17710.7837807952,188.1639810774,-135574.998408209,-232.0854170492,1153.5104393652,277.9460372187,194.5864744134,320.035039901,381.1305472088,606.2035415393,143819.060323752,-479.0087430721,-18414.3934364869,115.3367843351,-18470.8798178329,11161.6116696602,33774.2347193545,-18574.425348678,-4199.3176766201,-248.9680328452,1730.0901570054,384.6065262784,-18887.2125810894,-23542.261181787,3628.4317201785,884.8934876418,-18134.575109304,674.7262049605,175.5314143167,-135380.103800172,372.607543172,-686.1513538931,-425.5758394417,218.9431854298,-17966.0200255527,-782.0018688392,145168.984879393,-69.3159360548,-479.7841120137,1047.3686042811,-18555.8274366276,18030.0145808723,45441.0267120689,403.7720397069,-11442.6210290443,19573.9406615217,19487.7768858438,140.2792106419,-785.0619009815,-19132.1242718016,87.4494467469,19996.9435310019,1676.883682668,-5938.4521731165,18091.0702804222,19193.9057691084,-134.3622857094,-137977.887963956,-230644.706873343,17657.0363728233,285.7921121083,32.2325596464,-804.9653746328,109.5375693345,-729.3240759778,350.4303261855,733.9377503863,-19578.3988071156,-762.2679522309,19326.1442840946,-72.7011336161,250.2920631555,53.0025933755,11207.9987175731,3238.7258552158,18531.9158621267,-887.1863706212,213.8292190871,1395.2888315534,18345.0313502186,251.723912019,18425.1477267267,260.9581271622,-91.7584039593,262.5846249845,-2275.266819418,-231.3345886247,-3713.1073580879,18324.8940612429,-5744.1076883542,11220.37519156,107.1066731942,217.6734980463,-653.7701102339,-610.9417851789,19821.6059383246,1070.1156890508,811.58910643,-117.2554621967,358.148437764,-267.8001940517,-736.9088925575,-277.1630406314,-273.5448213184,-229020.044305139,17626.9425109961,64.4797169624,341220.112432733,-5853.1316610952,-3636.1511862721,-186.8372349902,18029.5779440664,-341791.91909867,-18518.4242115384,-19797.7787674857,18903.1934354492,240.2834527976,-575.165903078,45258.1886339923,518.9024855862,3718.4774356771,-783.0476203412,-633.6841791585,-162.5840711818,155.6755337798,-157.3731016165,-1780.4206871356,-19648.7880763293,19784.015664949,18497.5133673651,-335.8748147193,-19565.4618111165,-19998.6637628033,-489.8722092487,-5626.7255838139,101.6592615881,-74.6278001457,-18492.2103565312,181.0987475787,-1261.1422194632,-99881.4584558183
-28.8384900722,465.8727823084,519.7456530648,-39.9926914758,-131.7817183052,-252.5924828702,76.527898475,350.5848797524,-1.6583334159,2.7914968813,159.370184268,-209.3638564404,-241.3783349788,-209.3409870157,150.677151884,-61.6761129161,8.757506876,-108.9399082135,295.3982754938,306.0025102469,33.4742640781,570.1022030648,171.77078049,371.6312889159,-161.1129597272,105.3556423957,128.390601347,364.7118573182,403.7442390482,-1319.6025748168,-466.2142893714,360.8939066844,88.0310883331,631.4034798518,-138.1697713581,-380.3351345118,193.7476291676,71.7282881514,-164.3327075731,-144.6558015551,77.9265748692,4.3007826202,-12.7650301894,12.4024869846,-115.1048156135,453.7227065914,226.8732317853,-51.260347237,742.7401141895,2.5783646368,-305.592513697,280.8521234719,193.6018757566,239.5718861719,-34.5642697358,-852.6420539847,-153.64286388,-30.5923447827,369.2798286181,167.652428143,-639.9735432847,-183.6941005469,662.6809196582,248.360183734,-40.0779554544,-140.7894398656,-105.4367024766,280.0265108925,-196.0438412958,-68.8251391294,222.5254688382,812.3517785619,167.4788950756,-434.3603466335,2.0627111512,-213.9668511038,688.6506419778,1024.0701351716,-423.6500131633,157.0226965338,-24.7775975634,-379.3020041345,171.0169480587,-32.6906986001,-152.8429836775,23.9474688543,-180.7342397756,-6.3989350305,203.0030750301,-76.466087831,-32.0345748909,101.90595129,-172.3075485026,-207.6611002215,-183.4506722794,-707.5851046127,-95.9048419682,718.8573829409,-401.7333035989,-14.5726967574,-287.012084591,247.8827578774,-1.5712902653,313.791146917,-121.3389518581,-34.4520386866,37.6608164334,-340.7189962559,204.8233277877,-189.4068228586,108.6188509503,21.335594205,-447.1243143359,-308.5651648851,-94.8984507143,294.6712586836,41.2942808529,45.4585027576,269.9190773453,-305.7242667341,31.1818558846,-63.3460616595,36.5497370268,1404.1482889181,-501.3334227921,-0.1285692204,-1884.0275619929,68.9778950146,42.5077897275,-228.6563319298,-437.9272107435,1661.6754988386,-32.7331343278,-408.1036051096,-406.9288125803,11.0875727013,34.0994813654,-176.5114062609,179.2102402032,38.5851158575,-46.4508484905,2.2216070004,-69.2957266483,-104.2928956486,201.1335985272,136.1253185632,-15.35104405,139.7550135961,-202.3470938801,-13.0436494301,-269.690134347,-486.0730493373,-26.1460922845,141.8096681109,9.9585845335,-461.8090924505,174.5432426456,291.6576873959,-618.1188317546,555.7666512304
7.6547498671,-8.4255820768,-39.9926914758,310.0901029901,165.9859527152,41.1755819158,62.3666170718,-70.2267092346,-178.33410757,148.2009880898,74.2653219816,-27.9159088089,-49.5717484423,177.5665943734,124.958721487,-95.3505967849,128.0296232508,-182.633271206,-352.0196306673,-186.6013687187,18.7730659373,-475.5751523265,284.3936209815,-241.1982218027,42.8639351828,89.6094020046,29.6131712294,145.8165660082,123.7455891786,642.5967644337,-150.411257984,-102.3164200945,69.6546049593,-311.3364909458,-91.2819909658,76.5085122186,-132.3046449994,13.1180439248,-135.536046468,-61.8041895919,90.3684944041,-213.6623231019,-189.1555519444,46.0373165547,-55.8712971957,21.2781567585,20.1944412541,-119.4910127954,-394.8404382494,144.0216756935,173.5930112252,45.8681060161,-68.7371774423,-265.730457206,-23.9458693419,397.0731642925,-75.459887789,110.2724658052,172.4920484065,-335.2600906704,214.3062477333,109.6727982644,84.8212335846,-3.5313708603,68.2286261702,-44.2455656194,-208.2926061018,89.1142174178,202.478957707,-202.0687279432,-69.6477331668,-59.5712442845,-22.7789697416,159.783337943,-6.4065321996,-225.1877735711,-450.2823639562,-660.0490366846,131.2273745354,51.2302899579,-90.8759844339,417.2149478219,1.961783171,-5.8129887288,-52.6830452328,12.705670781,231.5210230356,-65.7289546133,-209.5756498785,-48.8641655235,2.7928280289,-149.3816811165,-16.1684340357,-40.6436828296,196.2021249477,-37.3469724995,-218.368426375,-62.1929341457,389.6605964706,-16.5559795233,302.462306092,-108.2447068252,-216.8745364448,26.5152966095,-3.2864967065,232.828100597,120.5306918486,60.6822256987,0.4782673524,-19.6539440805,-129.3249033343,-160.2472233325,-6.6156530777,-74.4147518466,53.8776034061,142.231252246,-0.7979769384,-6.2782729046,216.3897944826,136.3181770947,-10.2637637647,-291.4517535891,86.5205400919,-655.7943145039,222.5713966301,-137.6686410016,1272.4130395076,-11.6707181809,40.1727200052,-305.3010774355,161.0507566336,-1105.1200473621,-107.3245194425,247.5991077208,181.9168987102,23.7823329894,-30.6798963975,137.891958429,-256.3057559976,67.0217907722,-0.8311036205,51.131705567,-181.1274423194,-31.8360579482,63.5540134642,170.0335050114,141.0600949937,-76.6923159885,152.8517449592,-113.1694154008,43.126823804,274.3346562113,184.6466523254,-39.6309978648,148.0665367591,-168.5766794247,-402.9297757832,47.465507534,78.1451562941,-390.6924904243
-14.3720168711,-50.757846818,-131.7817183052,165.9859527152,345.8993098039,152.9860684532,11.8320039226,-66.0647930358,-124.5097112209,85.0380701379,115.3421050712,-114.0387972247,-69.6531678692,464.0400689844,87.9524997134,-163.9535602099,145.1792911216,-185.6104064528,-394.7454130041,-415.1111692056,-2.0563834377,-695.3388636022,77.00192382,-324.1118035625,-64.8387900294,42.8323374793,118.9934702363,-3.3356085952,132.4671455732,1019.8494912946,-84.7054242403,-106.4241600042,46.5905328381,-367.9673608803,-12.6470815829,197.4362600755,-297.0682060987,55.8611836208,17.2321638758,-178.0034998528,-14.4785705304,-186.1732256817,-201.9503970007,42.8027759691,-55.2198969958,-219.0298144394,8.7385931539,-131.3246337919,-706.6470039088,47.7514780746,-5.8066526654,73.422933404,-81.6570602645,-348.8806798395,3.9228954351,555.2846510049,6.0507845012,245.7061763291,-99.2843321547,-201.4564579495,304.3751730681,153.7747194506,16.7639843163,-35.0185547802,244.2476172983,-282.3437417977,-169.7956183405,-86.2047673485,51.79170014,-364.3384468376,66.7879489241,-200.8824764316,-4.8351644641,190.6595292649,69.1793792303,-82.6285678497,-686.9108654746,-845.3372154382,398.8665223213,25.6232593423,-299.3070005311,392.9778413406,112.1617593718,28.6905957492,-56.6705122451,-25.649386906,261.3175861095,-25.8271492474,-423.2387959963,-264.4695292784,44.4633453326,-221.8814990839,58.5362782557,-3.0129426614,20.2721616269,314.7178144318,-69.6192525681,-187.8019192128,377.7146527406,19.573947737,360.9121507991,109.8622636859,-117.5618251589,-52.5737243989,-5.6547406642,124.6436450323,31.0970524315,255.5274409725,102.1482628829,14.495712472,-160.4375185195,-443.6305887839,-55.6807206441,129.2524046856,146.5539091046,-125.5338147022,-55.3159149593,79.9222910231,69.5894298426,115.2881482185,11.50232444,-338.067792558,250.3999475338,-1046.8962273839,139.5453688555,-139.3811195942,1971.8628469347,-15.1004454056,70.7407286957,123.579003137,214.35134901,-1667.970185297,5.8770721997,-7.1713225248,211.6462037072,2.7095177237,16.6977106682,158.6236890645,-305.3426952,4.1360251752,36.2316213019,21.7210020634,-209.1211301024,-46.9480881447,64.9063967109,53.3500574422,130.2755546533,62.610566327,320.5092166013,-20.6830950805,132.9786999652,215.361484268,216.0921116259,10.2826528165,81.3575883629,-88.7741468249,-353.5975710613,-135.0792179893,191.5234125057,-584.6983317138
686.2966470289,33679.4945051126,-252.5924828702,41.1755819158,152.9860684532,32491.5256939399,-2016.467216315,-18124.4813317697,-49.4543285949,-168.1718665823,2620.4400623009,-10.9935233978,-2666.7355408511,17620.6703993905,-218.1197196996,-22401.5982673938,58.5851325793,176.5967511112,-17726.1900101817,-18000.132106292,135.2984288414,-128782.43392663,41.855763558,509.8485268945,214.1849980353,-529.1769091038,234.5032794037,-141.1145908774,-82.1417628689,137857.036449249,36.290137718,-17946.0289823929,-186.4900156929,-17845.9618223245,10498.6318925004,32333.9836467299,-18031.2315086054,-4291.5374189673,-128.4877989546,1572.9436321763,207.6018866781,-17828.7290931261,-22434.5908739504,3374.458651091,1441.4502449942,-17725.9747517875,31.1658881285,164.1516544365,-128829.460098414,140.7466482583,91.8991817413,-174.9525209939,171.797581932,-17974.9491008883,-661.8577866556,137686.768637806,-115.4715228701,-137.7590805679,-165.8971185964,-17918.9326521617,18038.6374758801,43040.1609800075,-332.2994954935,-10899.9168397568,17827.8422121674,17812.0764948865,200.4450560509,-857.8515200723,-17772.6147797109,-212.4538093425,17659.2294840605,104.4617002441,-5515.1562921875,17654.823226449,17942.0471120173,200.1087904467,-131316.582318889,-218846.616845772,17807.0429685817,99.6370328276,198.9802432031,-145.0822034302,-342.7708945663,-650.3538576318,-131.8429959455,661.3273696302,-18090.035123861,-648.4338972236,18111.438399769,212.3644731631,290.3645505823,-186.2686133182,10994.5080259393,3630.5669289399,18104.0388364331,-66.5421455119,390.7680132374,-76.027959197,17863.2811579704,292.9456592374,17748.642330749,200.4037145684,-142.5556541747,-319.0209799135,-2026.5388145922,-218.8843436209,-3395.9166153075,17995.6325336153,-5579.9203800424,10673.1344826547,-201.3690030331,-289.18778819,37.7410862833,-37.3987234187,18855.5194833813,-55.7920619352,647.9867361867,52.3956804195,243.7871752857,-207.4984637911,-725.5471094466,241.2138314705,-145.1631400124,-219064.29554772,18065.922133608,402.2336216145,325209.205531846,-5451.0455739691,-3456.0235595181,413.4668631618,17822.0244333411,-325121.549008504,-17724.8521853695,-18212.5388315708,17889.2327246817,119.370300313,-574.1612906152,43073.781124922,199.9365911206,3382.5839973915,-658.4381948858,-539.7744706944,449.4284671614,76.5869304357,-133.2493869162,-1568.0676908198,-18133.5107941301,17910.1983306498,18036.7601167377,-193.7401480762,-18083.0332851305,-18259.7120209986,-175.1463110342,-5464.5021549561,216.4523473143,106.3919198168,-17939.0582042264,-270.2448046262,73.5663073317,-95035.3771907744
-31.7998466713,-2221.1769278202,76.527898475,62.3666170718,11.8320039226,-2016.467216315,336.723569955,1365.9167533491,-150.9684400836,98.75626339,29.2164169363,54.0486924322,-38.3870773325,-1315.6788372144,156.5279575057,1524.8972203069,-85.0367489264,-186.6764688947,1091.4975013184,1059.2008568632,-7.1591127736,8097.9418027454,-7.6598525237,220.7239611374,14.0382153119,-86.4730552536,127.9881725451,188.903352459,186.6015712965,-8573.6421623262,-177.6827992859,1020.1419921447,6.6672042763,1105.9033982683,-887.0751759583,-2029.2668903784,1473.1980696082,207.0902909338,-124.3134657824,-341.5546741488,45.2984046537,1347.5670240191,1425.2320201706,-241.5157621227,-104.4128361839,1279.9027859771,-65.5014220131,-85.2740051361,8241.8266509695,40.6454234722,87.7552748646,-2.8580855257,-25.4954614217,1011.1097349606,49.1908011871,-8594.607845056,-22.3930509189,75.5808087466,-55.841945158,1260.5885500181,-1457.6090356337,-2800.8301603342,116.2995001683,671.5595277853,-1063.0089691929,-1384.8180412538,-157.7397364374,174.4783981578,1106.8831191648,-288.8216212542,-1125.4216344055,53.9677626075,355.0164400687,-1249.7266074178,-1287.5384675365,-47.9085336747,8359.1648518369,14020.6637622184,-1105.483440135,71.2607888954,-81.1764257297,-44.2815790335,-59.6287754109,53.2998024997,68.696681582,-60.5578633213,1257.1478892565,56.3566359872,-1207.8548751017,-68.1527366635,-24.3843740222,-17.2575895432,-582.1068662522,-107.082088181,-1162.063375799,-183.0608925898,23.2889710463,-83.0256610479,-1346.4456294701,-6.3122751672,-1040.8128885319,416.9206296235,-86.8772346672,31.8775797566,190.0628775492,88.7279909752,292.2542922601,-1341.2840694801,383.7218447055,-698.2438944767,-53.9412326976,-154.5697094238,-133.1942655196,10.2605808416,-1209.8986792008,-208.4457300979,-55.1810813574,55.4679054553,137.9013749627,91.1481276914,12.5421427633,-46.6208040527,164.2859724687,13946.20084261,-934.6425758093,268.8419621385,-20516.2470585516,372.6111595505,201.9139743598,45.1630835361,-1052.5503675961,20604.2752772843,1009.2285396544,1137.7071980039,-1604.5522074192,-22.2795533782,4.1250464911,-2729.2664854161,-59.7530055942,-181.9039760719,48.7508913893,87.2115717089,184.098369191,-93.0358984574,266.3495899144,293.5726746311,1111.9743917301,-911.4732322016,-1314.8613670912,-19.6956785338,1121.184916374,1118.2813856452,100.5527867173,372.9400032427,37.2813394217,-458.882857822,850.3980231085,58.1242353875,19.3867949298,6049.9122543041
-427.7042149173,-18817.4155511147,350.5848797524,-70.2267092346,-66.0647930358,-18124.4813317697,1365.9167533491,12005.657177303,-135.3827814472,87.6855276351,-1141.8254446596,-496.0136881883,1208.1228887002,-10428.6756039593,304.0636305225,12744.5015392329,-1.6520922225,-339.7527097407,10492.5267904344,11034.5984097145,-20.0847832213,71421.8930944183,-421.7027182237,-92.4943479325,-265.2947819403,1012.8683052481,90.1380005435,172.2675402506,-37.898928987,-76550.3496905755,69.77291941,10086.3185419799,3.7872920747,10028.5720252803,-5966.2548528669,-18028.5436787235,11396.8782046231,2359.6875432238,25.1269567183,-1463.086424345,-280.2110239453,11133.0880998155,12410.003780129,-1796.9048932735,-515.7541434909,10245.3152429581,111.0090242464,-227.0174858989,71832.7300590933,-126.853741163,-1077.8051245841,2.6322237009,183.9048818896,10961.0044409627,400.8477941438,-76325.0331279187,-59.4195458626,121.4415638387,-464.5185391009,10651.7923723404,-11450.2944964207,-24005.5827460298,130.5122370181,6045.347744128,-9020.3972057444,-9825.8220867498,-29.4039981848,881.4112623722,9470.7299745956,-1239.7110100412,-9322.8217459481,613.3717137842,3570.6095478011,-10218.5348436686,-10477.750973787,-67.9084953007,73069.4503160474,121719.331882611,-10685.077143866,163.6898250114,-571.8433256691,-543.9221823421,577.4105577621,325.216554292,-209.4425259641,-368.472705922,9971.543645034,411.8435818855,-9808.1645241743,-311.4560667065,-165.5576461608,279.1005477837,-6065.5159661157,-1775.7635542124,-10398.0988564525,-498.1075503905,-229.4254884489,31.4621022459,-10329.3759562437,-105.8091737929,-10305.3995748283,1281.3985280753,301.6220896386,416.0394731729,1136.5193940476,-166.1560730037,2065.4330371307,-9980.2302121801,3357.9157608419,-6218.9503768278,139.2842320473,16.6081457413,-67.5478295957,-104.1247582418,-10383.6499020139,-132.445801418,-412.8787309864,118.0106746681,779.2839992289,-546.938943122,383.092077896,500.1419363967,87.9921985939,120893.808679525,-9830.5586700904,455.9955874026,-180899.528015723,3063.2362415924,2017.4961109434,367.8553560281,-10589.6210976979,180900.209139966,8899.6068955509,10567.6580433915,-11811.6222976732,-197.5965390584,424.6204978433,-23835.4223696569,-60.2629964182,-1936.0739373738,353.9875946991,292.5781951994,366.1040995689,-306.924666782,429.4368981689,978.2656455215,9514.0557351111,-8919.5289187542,-11567.8208721123,240.6595856017,9551.526433452,10137.9750908098,95.9637055677,3213.7913139786,-53.7397683085,-682.1723830767,9943.2458037079,261.0432430751,-432.5155657889,52907.3917674389
-17.7656679267,220.8423240946,-1.6583334159,-178.33410757,-124.5097112209,-49.4543285949,-150.9684400836,-135.3827814472,518.9827176897,-191.6856847858,-239.2145950288,-65.2390290439,227.1065009287,258.6224475899,-165.4454558526,-134.9397459647,54.1897798139,293.1547355881,132.0363536955,322.3855883456,-10.7793912677,36.308570248,-168.9431793358,-217.9898425901,-80.888535438,159.6881156659,-146.3700082112,-211.3087737975,-92.9039378985,-280.8578798435,29.2022878077,-140.5563544305,-44.7576448966,-38.1095431107,300.2844892999,70.5453269206,-185.938941272,36.115467784,206.866775588,240.7316535844,-206.9701035942,-463.4794787962,196.9248046525,4.1278188227,148.1525752464,-568.0958781534,4.089858945,260.4514682434,-142.5266325757,-180.3440777717,-64.6074876246,-196.6435618946,-38.7804161686,417.5977010308,-16.7256270846,223.0011991125,144.5345721782,-205.0224669124,184.5365867195,11.386523133,452.4079008731,129.2989291572,80.3514241946,-94.4283772325,-306.2878149761,322.7147635663,126.4936060349,-194.8748014765,-32.590164411,337.7378935671,-66.2520962842,-64.5756749632,-144.0497856492,449.269260905,281.2972386727,-437.774787803,-3.2626109528,-550.8227203781,138.1487805742,-200.1152900952,266.4341761571,-66.360795114,22.5722930186,18.7015059545,66.3475704302,-12.6479385833,-257.4780166743,36.7757076399,-83.2947786971,98.1371580616,5.6147796988,162.4329077599,-60.1174653247,-187.7517729854,219.2109575204,220.7782913161,58.5887081673,106.8680687884,267.3357595544,3.1109259068,155.8063861092,-342.5300977374,185.6311950735,-114.4134293307,66.1364103328,-212.5417074676,-196.7146597552,246.2240362356,-8.241020944,20.2370616689,115.7462190254,-52.8643238664,459.8239319306,12.6552711624,23.299218493,-100.0265997563,35.1538237673,-95.0037834754,-431.1786016041,33.586534294,32.7460837633,104.3958796715,-88.1312171447,17.9130299,-282.8608397683,-106.0298643914,-73.1803635615,37.537828363,-38.630444797,-345.7299971903,164.1898616773,-29.4971241276,289.3200220965,231.069647365,300.2618722734,-10.2430540863,10.2767548161,18.4461063,246.2688513995,-49.0237958375,-18.0975192483,-73.0635908157,-244.9081821527,138.4427816085,-250.9179644675,-321.1585588131,-191.5091808486,-404.1788076422,489.4061176469,130.4228485579,250.8346138682,98.5683221459,-247.2817546272,-35.8103190812,-304.9753212945,424.5633721207,503.3890005433,-38.0496893969,17.7255025643,-2.2638883325
13.559961148,-460.3887420145,2.7914968813,148.2009880898,85.0380701379,-168.1718665823,98.75626339,87.6855276351,-191.6856847858,218.2964517445,119.7006483688,79.9827299553,-59.476334089,-93.3447745018,96.5934981238,162.5298894115,28.0239924027,-139.8605040912,-298.9766506205,-210.0235833358,12.1414320365,696.5353777985,362.8597523188,-121.6223177205,-80.9918950115,-124.7545515642,38.2349028259,84.6157771,143.9475525475,-656.3836585414,-137.1999507452,129.7129649395,18.6243078522,125.166920462,-235.6047681647,-202.0372711701,-105.7290508266,-13.4560628141,-126.3579398825,-138.7947601177,54.3616025054,54.7556812497,-2.5879282205,-40.8609537146,0.4535658125,87.6346846387,-87.3602327041,-100.3141793329,774.0459543617,-6.2290062601,275.7128798635,259.0369330287,25.8468596854,-250.8472194775,-11.0249053944,-967.956240513,-86.0950956984,119.5848539807,29.7785173365,-59.3595661364,105.7092533029,-290.5531098566,130.5959068109,157.0177757635,-254.5424352727,-390.3997550271,-189.1938304064,66.6954658002,198.0620951063,-97.5415780148,-428.7734273271,-18.852955198,85.7420924451,-29.072886025,-93.4857912608,-155.9915047898,736.2654869575,1520.7018679318,86.6443001273,104.2165908547,84.3004081528,114.3912618813,-56.8307245824,-15.944181827,-219.9218635225,8.9795376133,334.703203792,-17.5253237525,-245.7100330243,-54.0623428908,-8.6975056429,-74.8329520548,-4.3296780581,-28.3774467458,-77.774160296,-73.4273912953,-121.5359498243,-104.0801599028,74.3913777712,-11.7040113571,105.1815429779,21.5858490202,-213.2238285941,5.7193135862,-14.3282121621,196.5843914304,126.0661762918,-59.9312304837,67.3239573363,-128.8788472555,-70.8825109644,-230.4057661275,-195.5749961645,-42.6098399285,-115.8012349504,-115.5238552323,-16.5050940767,53.8500145068,153.9348138336,-103.5086243191,-8.4601616437,-164.7927189123,116.5942801405,1221.2341688392,74.0325081254,81.4272640931,-1681.60696994,77.9539960666,50.8915009398,-90.7947044316,4.7845378062,1801.3813280937,-100.7321933531,157.5300458526,-13.9063629375,-10.8841880164,0.4146327276,-252.0524758875,-152.6352975444,7.3868635656,0.5227946566,45.1826686258,130.7015904485,-73.6380441299,185.8132666373,228.3471572885,464.2593843137,-407.5459864477,-9.4474690456,-62.4235950077,234.3613297538,272.3201275214,158.7364514987,10.5742180731,103.1569980603,-286.8638858556,-130.308032325,31.8235461343,52.1968079481,519.3725503486
